Transaction_ID,User_ID,Date,Transaction_Type,Category,Amount,Balance_After_Transaction,Budget_Planned,Budget_Utilized,Credit_Score,Investment_Return,Payment_Mode,Action_Type,Interaction_Time,Preferred_View,Feedback_Score,Recommendation_Type,Recommendation_Outcome,Prediction_Confidence,Decision_Quality,Error_Reduction,Cognitive_Load_Score
T0029,U73,2025-07-28,Investment,Groceries,3014.89,4273.92,11503.32,10026.801372494841,494,1.4,Debit,Dashboard_Click,296,Charts,5,Budget Adjustment,Rejected,59.66,1,98.91,8
T0030,U79,2025-09-18,Expense,Stocks,1026.72,14327.34,8723.12,10416.331770407149,687,,Debit,Recommendation_Ignored,66,Summary,3,Budget Adjustment,Ignored,74.47,1,87.41,6
T0031,U32,2025-03-11,Expense,Insurance,407.31,8467.42,5470.04,6035.999635503607,779,,Cash,Recommendation_Accepted,316,Summary,5,Investment Suggestion,Rejected,56.56,0,1.98,7
T0032,U44,2024-12-25,Expense,Groceries,769.48,10464.94,14436.31,15992.958325697868,555,,Cash,Recommendation_Accepted,218,Detailed,3,Risk Alert,Accepted,89.51,0,40.35,6
T0033,U51,2024-10-10,Expense,Salary,3114.21,1627.38,8071.37,9350.907074388757,391,,Credit,Recommendation_Accepted,480,Charts,3,Investment Suggestion,Rejected,61.6,0,83.26,7
T0034,U13,2025-07-30,Tax,Utilities,3408.9,17891.76,3522.45,1973.820158269348,300,,Online,Recommendation_Ignored,288,Tables,4,Budget Adjustment,Ignored,78.27,1,55.64,8
T0035,U24,2025-02-23,Expense,Groceries,992.79,19689.63,7965.75,6866.820728808425,688,,Credit,Report_View,305,Detailed,4,Risk Alert,Ignored,71.7,1,7.41,5
T0036,U26,2025-01-28,Loan,EMI,1241.44,3681.22,8215.85,10059.11973111367,771,,Credit,Recommendation_Accepted,37,Tables,1,Budget Adjustment,Rejected,59.09,0,3.85,2
T0037,U95,2024-10-28,Investment,Insurance,236.42,16270.84,4789.16,5589.346216985443,444,-3.96,Credit,Recommendation_Accepted,211,Tables,1,Budget Adjustment,Accepted,73.1,1,99.61,7
T0038,U27,2025-08-15,Investment,Salary,1083.7,9942.6,12709.22,14307.8309287033,486,2.01,Debit,Report_View,560,Charts,4,Budget Adjustment,Ignored,69.2,0,70.39,10
T0039,U30,2025-02-10,Investment,Stocks,538.6,5887.68,14555.02,13342.446673934508,367,-2.67,Online,Report_View,109,Tables,5,Budget Adjustment,Ignored,78.37,1,13.93,5
T0040,U23,2025-07-08,Investment,EMI,2966.43,9077.0,14730.33,13993.41051360363,529,3.13,Cash,Report_View,362,Detailed,5,Budget Adjustment,Accepted,93.56,0,93.74,4
T0041,U85,2025-03-16,Loan,Stocks,3006.58,12496.37,7309.98,7886.8437645358845,819,,Cash,Report_View,110,Charts,4,Budget Adjustment,Ignored,71.71,1,3.25,5
T0042,U43,2025-09-04,Tax,Insurance,4970.28,18141.11,5540.15,4025.6630044801013,781,,Cash,Report_View,130,Charts,4,Risk Alert,Accepted,53.26,0,42.88,3
T0043,U14,2025-03-18,Tax,EMI,478.97,15293.41,14060.48,13056.919488567115,451,,Debit,Recommendation_Ignored,263,Tables,3,Budget Adjustment,Ignored,68.38,1,10.17,5
T0044,U19,2024-10-18,Income,Insurance,2887.84,11833.16,3737.93,3370.803898298589,688,,Credit,Dashboard_Click,315,Charts,1,Investment Suggestion,Accepted,63.56,1,17.89,7
T0045,U36,2025-06-16,Expense,EMI,4015.42,16229.53,12044.76,12372.218238884852,836,,Cash,Recommendation_Accepted,550,Charts,4,Budget Adjustment,Rejected,60.7,0,51.93,4
T0046,U87,2025-04-28,Income,Healthcare,1208.59,5683.46,3586.2,2680.2446386309502,636,,Online,Dashboard_Click,98,Tables,3,Budget Adjustment,Ignored,59.69,0,39.12,10
T0047,U33,2025-02-05,Tax,Stocks,3046.5,15693.45,6589.46,5662.77805123424,479,,Online,Dashboard_Click,306,Detailed,1,Budget Adjustment,Rejected,88.9,0,2.74,2
T0048,U3,2025-02-24,Tax,Utilities,1019.6,3083.0,12526.44,13420.690564569548,396,,Debit,Recommendation_Ignored,150,Charts,3,Budget Adjustment,Accepted,78.29,0,98.5,5
T0049,U93,2024-11-29,Investment,Groceries,744.53,4060.69,2152.03,3185.035297814953,377,7.95,Online,Dashboard_Click,204,Summary,2,Risk Alert,Ignored,84.58,1,25.15,9
T0050,U77,2024-11-02,Expense,Utilities,2986.6,5534.94,10988.75,11766.165476089438,784,,Cash,Recommendation_Ignored,572,Detailed,4,Risk Alert,Ignored,87.64,1,98.71,1
T0051,U28,2024-11-30,Expense,EMI,4306.21,10286.79,14595.65,15172.783267481014,803,,Credit,Report_View,157,Charts,4,Risk Alert,Rejected,54.09,1,72.9,2
T0052,U68,2025-08-30,Investment,Travel,2938.96,19904.9,8363.41,7021.9480445916615,833,-7.04,Cash,Dashboard_Click,111,Detailed,5,Investment Suggestion,Ignored,55.06,0,72.17,3
T0053,U65,2025-01-29,Tax,Utilities,4569.93,15156.46,6581.48,4673.3936962010475,410,,Online,Report_View,447,Summary,5,Investment Suggestion,Accepted,92.47,1,60.17,5
T0054,U88,2025-01-21,Income,Salary,2386.48,16522.34,10601.5,11337.426471453318,813,,Credit,Recommendation_Ignored,143,Charts,4,Investment Suggestion,Rejected,87.51,0,10.61,4
T0055,U72,2025-03-21,Income,Travel,4521.89,15890.94,14245.77,15934.849991330388,723,,Cash,Recommendation_Ignored,401,Detailed,4,Risk Alert,Rejected,70.97,0,90.3,6
T0056,U94,2024-11-09,Tax,Stocks,2739.14,17711.1,10211.1,12108.32279812549,485,,Debit,Recommendation_Accepted,89,Charts,3,Risk Alert,Rejected,52.5,0,98.89,1
T0057,U27,2024-11-22,Income,Insurance,4975.29,15822.4,2595.96,4530.428213782316,582,,Cash,Recommendation_Ignored,158,Charts,3,Budget Adjustment,Rejected,57.14,0,27.36,5
T0058,U74,2025-04-19,Tax,Groceries,3743.53,8245.27,12203.09,10352.371038808587,628,,Online,Dashboard_Click,534,Tables,3,Budget Adjustment,Rejected,67.16,1,36.72,10
T0059,U40,2025-01-10,Income,EMI,2792.83,2559.82,2445.19,3169.3186247985727,589,,Online,Report_View,511,Charts,5,Budget Adjustment,Accepted,77.58,0,99.52,7
T0060,U13,2024-10-22,Income,Travel,1676.33,11185.28,10078.13,9001.92488414519,734,,Debit,Report_View,503,Tables,1,Budget Adjustment,Ignored,70.11,1,6.17,10
T0061,U67,2024-10-23,Tax,Groceries,149.06,5232.87,8797.49,7818.533778991278,431,,Debit,Report_View,365,Summary,2,Investment Suggestion,Accepted,92.8,1,48.16,10
T0062,U44,2025-01-25,Income,Salary,4761.65,8852.65,10744.24,9495.875838067128,457,,Cash,Recommendation_Ignored,474,Detailed,2,Risk Alert,Rejected,88.46,0,64.98,2
T0063,U90,2025-02-05,Investment,Healthcare,2080.19,7815.39,6779.17,8387.44922008437,406,-6.54,Credit,Report_View,443,Charts,1,Risk Alert,Ignored,92.45,1,97.39,4
T0064,U13,2025-08-12,Loan,Travel,3404.52,4567.73,7445.68,8287.621382384128,825,,Debit,Dashboard_Click,163,Detailed,1,Risk Alert,Ignored,59.02,1,77.59,9
T0065,U58,2025-06-17,Tax,EMI,199.81,18497.75,2562.36,885.4179277480202,400,,Online,Recommendation_Accepted,38,Charts,4,Risk Alert,Accepted,50.5,0,29.63,10
T0066,U88,2024-11-09,Loan,Stocks,2921.88,3998.44,10407.57,10533.563959349627,806,,Online,Recommendation_Accepted,586,Summary,4,Budget Adjustment,Accepted,71.52,1,7.76,2
T0067,U60,2024-11-18,Loan,Healthcare,1305.06,8944.74,3426.47,2210.041232318471,412,,Online,Recommendation_Accepted,352,Charts,3,Risk Alert,Accepted,68.93,1,70.95,10
T0068,U13,2025-05-07,Tax,Healthcare,3965.57,6656.64,8206.95,7715.326258814029,591,,Cash,Dashboard_Click,394,Tables,4,Risk Alert,Ignored,78.96,1,78.0,3
T0069,U45,2025-04-22,Investment,Travel,2915.15,5388.42,10482.96,11563.280696850536,663,13.82,Online,Recommendation_Accepted,216,Charts,4,Investment Suggestion,Ignored,94.92,0,33.96,8
T0070,U71,2025-02-07,Investment,Salary,2898.23,4919.76,2818.58,1668.966883786891,451,-5.66,Online,Recommendation_Ignored,595,Detailed,3,Risk Alert,Rejected,87.32,0,20.7,9
T0071,U75,2025-02-17,Loan,Stocks,3017.09,18576.86,13230.71,13754.986927875867,524,,Cash,Report_View,331,Tables,5,Budget Adjustment,Rejected,66.14,0,47.74,6
T0072,U4,2024-11-09,Expense,EMI,4480.47,7809.01,13518.88,13135.733461616182,677,,Debit,Recommendation_Accepted,52,Summary,3,Budget Adjustment,Accepted,50.49,0,72.52,5
T0073,U67,2024-10-25,Expense,Salary,2279.14,6885.19,14046.72,15059.793348464442,768,,Debit,Dashboard_Click,99,Detailed,4,Investment Suggestion,Rejected,69.06,0,21.53,8
T0074,U14,2025-08-07,Income,EMI,155.92,16871.43,3388.66,4344.065753131097,669,,Online,Report_View,155,Tables,4,Investment Suggestion,Rejected,99.84,1,6.72,8
T0075,U79,2025-03-16,Investment,Travel,3773.9,8018.24,4578.92,3745.8238251466046,419,-4.44,Debit,Dashboard_Click,338,Summary,4,Investment Suggestion,Ignored,86.65,1,81.82,3
T0076,U31,2025-02-02,Loan,EMI,1179.05,1401.03,12918.73,11415.052675356907,639,,Credit,Dashboard_Click,556,Tables,4,Investment Suggestion,Rejected,51.62,1,92.95,8
T0077,U5,2025-05-05,Tax,Insurance,632.47,5600.32,10570.45,10463.62776720727,510,,Cash,Report_View,52,Charts,3,Budget Adjustment,Ignored,61.16,1,27.8,2
T0078,U87,2025-09-03,Investment,Stocks,926.21,3688.29,12774.28,12141.294920314382,560,14.99,Credit,Recommendation_Accepted,484,Summary,1,Risk Alert,Ignored,86.93,1,26.98,10
T0079,U75,2024-11-29,Loan,Salary,406.04,10011.56,9794.21,11044.96855004424,307,,Online,Report_View,258,Summary,3,Risk Alert,Accepted,58.06,0,79.2,10
T0080,U47,2025-04-24,Tax,Salary,3682.96,14459.07,7482.22,8086.307063559244,338,,Debit,Recommendation_Accepted,70,Detailed,5,Risk Alert,Accepted,88.37,1,79.66,2
T0081,U89,2025-06-16,Expense,Insurance,4404.51,13370.79,13148.77,13345.657191280685,796,,Debit,Report_View,53,Charts,3,Investment Suggestion,Rejected,70.44,0,94.54,7
T0082,U38,2025-09-20,Loan,Healthcare,1154.96,5020.36,9887.71,10026.767255596482,541,,Online,Dashboard_Click,153,Detailed,1,Budget Adjustment,Accepted,54.76,1,88.4,6
T0083,U68,2025-01-04,Investment,EMI,1497.26,10311.6,11532.86,13108.478869189063,393,1.05,Cash,Recommendation_Ignored,555,Detailed,3,Budget Adjustment,Accepted,93.0,1,58.01,8
T0084,U32,2025-02-18,Investment,EMI,736.84,16954.78,14600.46,16069.262064337043,635,8.23,Debit,Report_View,334,Detailed,3,Investment Suggestion,Ignored,79.8,0,98.98,9
T0085,U20,2024-10-22,Loan,Insurance,3724.46,6761.93,6426.6,5709.200117117843,575,,Cash,Recommendation_Accepted,113,Tables,2,Risk Alert,Accepted,73.74,1,28.11,5
T0086,U70,2025-08-13,Income,EMI,2219.88,19232.61,6996.28,5765.039029398389,792,,Cash,Recommendation_Accepted,520,Detailed,5,Investment Suggestion,Ignored,55.18,0,16.71,6
T0087,U37,2025-04-13,Income,Travel,3339.58,1859.31,12545.77,12986.15373046488,408,,Credit,Recommendation_Accepted,136,Charts,2,Investment Suggestion,Accepted,81.12,0,98.39,3
T0088,U93,2025-07-04,Investment,Healthcare,1309.26,6795.33,13549.15,15192.854886308716,822,11.33,Debit,Recommendation_Accepted,397,Tables,1,Investment Suggestion,Accepted,99.08,1,43.82,8
T0089,U41,2025-08-07,Expense,Travel,755.31,10417.42,13740.28,13316.052402831538,391,,Credit,Recommendation_Accepted,26,Tables,3,Investment Suggestion,Accepted,97.54,1,12.69,2
T0090,U15,2025-03-07,Expense,EMI,1180.1,16837.82,8780.42,6869.785698898643,412,,Credit,Dashboard_Click,73,Summary,2,Investment Suggestion,Rejected,66.31,1,73.87,5
T0091,U38,2025-09-18,Income,Travel,1411.83,13586.44,9957.84,11563.258242712305,336,,Credit,Recommendation_Ignored,181,Detailed,4,Budget Adjustment,Rejected,77.41,1,15.73,1
T0092,U67,2025-05-31,Expense,EMI,1267.21,11427.46,12024.71,11235.553615860157,791,,Online,Recommendation_Ignored,453,Detailed,1,Investment Suggestion,Rejected,70.54,1,39.96,9
T0093,U9,2025-06-27,Loan,EMI,240.26,6441.14,7312.09,6084.543605674861,810,,Credit,Report_View,406,Charts,5,Risk Alert,Ignored,88.28,0,7.67,4
T0094,U72,2024-12-12,Investment,Insurance,4323.66,11217.45,13989.83,12183.318819679414,634,-7.73,Debit,Recommendation_Accepted,523,Charts,4,Investment Suggestion,Accepted,78.43,1,95.12,4
T0095,U78,2025-07-09,Loan,Healthcare,4372.28,15326.79,6560.64,7460.492390854211,641,,Online,Report_View,599,Summary,5,Risk Alert,Ignored,83.22,0,71.23,5
T0096,U40,2025-06-21,Investment,Groceries,3383.91,4139.27,13493.74,12771.646663382402,697,0.58,Debit,Dashboard_Click,546,Tables,5,Budget Adjustment,Ignored,58.14,1,28.14,10
T0097,U64,2025-01-11,Expense,Travel,1291.3,14059.27,12554.63,13175.174268514971,392,,Credit,Recommendation_Ignored,501,Charts,2,Risk Alert,Rejected,98.29,1,41.57,8
T0098,U32,2025-07-23,Expense,Groceries,4230.57,18897.01,13548.71,14629.266277153685,346,,Online,Recommendation_Ignored,499,Tables,1,Investment Suggestion,Ignored,91.56,0,69.7,7
T0099,U91,2025-07-24,Tax,Utilities,1673.62,2776.98,2428.9,3267.841216687875,750,,Credit,Recommendation_Accepted,247,Summary,4,Budget Adjustment,Accepted,56.7,1,68.55,8
T0100,U79,2025-01-27,Expense,EMI,1620.3,15206.1,14855.83,15704.171896773196,443,,Cash,Recommendation_Accepted,426,Detailed,1,Risk Alert,Ignored,77.44,0,48.95,2
T0101,U42,2025-05-19,Tax,Travel,3854.78,14124.41,11510.81,11373.60188346171,533,,Debit,Dashboard_Click,89,Detailed,1,Investment Suggestion,Accepted,64.41,1,51.25,9
T0102,U5,2025-09-07,Income,EMI,3123.8,4762.86,11948.99,11111.949880466675,780,,Cash,Recommendation_Ignored,91,Summary,1,Risk Alert,Accepted,52.52,1,11.76,5
T0103,U46,2025-06-28,Income,Salary,2902.78,15717.9,5240.03,3985.8747183178157,751,,Cash,Recommendation_Ignored,38,Detailed,1,Investment Suggestion,Ignored,66.53,0,64.6,10
T0104,U29,2024-10-12,Investment,Healthcare,1802.38,17671.04,14340.25,15795.450152372887,437,-0.61,Cash,Dashboard_Click,401,Tables,3,Investment Suggestion,Ignored,67.36,1,92.52,3
T0105,U36,2025-04-27,Loan,Salary,1698.21,11740.01,7164.08,7646.169174225432,431,,Cash,Dashboard_Click,236,Summary,1,Investment Suggestion,Ignored,97.25,1,2.05,10
T0106,U30,2025-08-23,Tax,Groceries,3124.42,3118.44,8491.93,8990.691001854762,816,,Online,Dashboard_Click,292,Tables,5,Budget Adjustment,Ignored,98.42,0,78.45,1
T0107,U89,2025-04-03,Loan,Travel,252.71,17203.63,11200.44,11281.24758488233,636,,Cash,Report_View,570,Charts,4,Risk Alert,Ignored,66.62,0,65.65,6
T0108,U47,2024-10-28,Expense,Utilities,2854.97,3562.98,8686.63,8748.223210286476,829,,Credit,Recommendation_Ignored,179,Charts,3,Investment Suggestion,Accepted,81.73,0,69.41,8
T0109,U17,2025-05-07,Tax,Healthcare,4112.07,18576.58,5345.75,3495.0752389467066,530,,Cash,Report_View,263,Charts,4,Investment Suggestion,Ignored,65.47,0,85.6,4
T0110,U67,2024-10-24,Income,Travel,459.59,6299.29,3512.52,4249.394107872135,681,,Debit,Dashboard_Click,584,Detailed,5,Risk Alert,Rejected,83.56,0,17.57,3
T0111,U76,2025-09-24,Tax,Travel,4805.57,12150.21,11929.07,13554.147793426404,765,,Debit,Recommendation_Accepted,300,Tables,5,Risk Alert,Accepted,93.2,0,7.2,3
T0112,U48,2024-09-25,Tax,EMI,3175.71,6279.53,7475.31,5666.609641844094,525,,Online,Recommendation_Ignored,598,Charts,3,Investment Suggestion,Ignored,56.41,0,35.91,2
T0113,U36,2025-09-24,Expense,Utilities,2726.34,1324.73,10383.94,10008.270883765892,358,,Debit,Report_View,286,Detailed,1,Risk Alert,Accepted,88.69,1,1.8,10
T0114,U60,2025-08-03,Expense,Insurance,4053.57,10836.87,13766.52,14431.842394770749,815,,Credit,Report_View,310,Summary,5,Investment Suggestion,Accepted,76.37,0,38.97,2
T0115,U58,2025-06-19,Expense,Healthcare,1954.62,2691.66,3943.09,4318.301665833205,831,,Credit,Recommendation_Ignored,236,Tables,2,Investment Suggestion,Accepted,68.55,1,10.71,1
T0116,U50,2025-08-25,Loan,EMI,892.8,2473.32,11023.62,10800.773097916433,519,,Cash,Recommendation_Accepted,541,Detailed,4,Investment Suggestion,Ignored,67.58,0,75.82,4
T0117,U75,2025-06-26,Loan,Insurance,4871.51,12969.57,6005.58,5036.406547898347,593,,Debit,Report_View,183,Charts,5,Investment Suggestion,Rejected,64.96,1,88.76,7
T0118,U58,2025-09-06,Expense,EMI,3100.09,13564.61,2495.08,1800.6577097030242,621,,Online,Report_View,306,Detailed,4,Investment Suggestion,Rejected,67.66,1,89.98,1
T0119,U44,2025-09-11,Tax,Healthcare,2345.73,5322.02,5409.55,4507.301255871425,623,,Online,Recommendation_Ignored,430,Tables,4,Budget Adjustment,Rejected,69.75,0,75.75,2
T0120,U70,2025-03-11,Income,EMI,966.73,10342.4,10351.1,11986.954665341873,844,,Credit,Dashboard_Click,432,Charts,3,Budget Adjustment,Accepted,98.21,0,14.09,2
T0121,U40,2025-01-09,Expense,Healthcare,407.62,7863.99,8302.77,9583.498357780483,766,,Debit,Recommendation_Ignored,169,Tables,2,Budget Adjustment,Rejected,80.73,0,77.54,9
T0122,U49,2024-12-28,Loan,Salary,3793.89,19456.02,6101.54,7792.771625217703,330,,Debit,Recommendation_Ignored,178,Charts,2,Investment Suggestion,Accepted,83.54,1,86.87,7
T0123,U65,2024-12-11,Investment,Salary,2045.06,19183.09,10199.19,8911.876670123984,580,-5.36,Cash,Dashboard_Click,246,Detailed,3,Investment Suggestion,Accepted,98.33,1,56.01,3
T0124,U93,2024-12-01,Expense,Groceries,1381.2,18814.76,8427.05,10363.228933468705,733,,Credit,Dashboard_Click,488,Detailed,3,Budget Adjustment,Accepted,50.54,0,54.02,7
T0125,U72,2025-04-30,Expense,Travel,1434.18,14285.52,12405.87,10826.367151749928,439,,Credit,Dashboard_Click,397,Charts,5,Risk Alert,Accepted,98.65,0,24.49,6
T0126,U52,2025-01-24,Income,Stocks,4255.5,2119.59,8781.0,8152.870893778233,602,,Debit,Recommendation_Accepted,89,Tables,5,Budget Adjustment,Rejected,77.95,0,78.93,2
T0127,U26,2025-06-04,Expense,Utilities,4779.36,12861.31,13397.37,13040.505743172274,548,,Credit,Recommendation_Accepted,329,Tables,2,Budget Adjustment,Ignored,52.44,0,10.87,2
T0128,U97,2025-01-09,Expense,Groceries,1309.38,5515.14,13076.19,11735.627084912077,545,,Online,Recommendation_Ignored,6,Summary,1,Risk Alert,Ignored,85.66,1,13.02,5
T0129,U38,2025-09-20,Investment,Healthcare,1292.09,6859.78,11748.82,11425.41368125655,421,13.08,Debit,Report_View,414,Charts,4,Budget Adjustment,Accepted,63.71,1,73.25,3
T0130,U94,2025-07-08,Investment,Groceries,1762.26,16303.03,4350.07,2837.24165578272,383,-2.48,Credit,Recommendation_Accepted,162,Charts,4,Risk Alert,Rejected,83.24,0,47.14,2
T0131,U46,2025-09-21,Income,Utilities,4740.08,16680.69,4855.3,5783.650876036073,501,,Cash,Recommendation_Accepted,305,Detailed,4,Budget Adjustment,Ignored,93.19,1,46.41,3
T0132,U25,2025-05-30,Expense,EMI,4434.48,13056.15,7059.35,8115.78075442927,776,,Cash,Dashboard_Click,378,Detailed,4,Budget Adjustment,Ignored,53.65,1,97.24,6
T0133,U69,2024-10-18,Expense,Travel,1231.1,7472.1,12740.29,12619.879353406879,489,,Online,Dashboard_Click,155,Summary,1,Risk Alert,Rejected,60.44,1,0.38,7
T0134,U58,2024-12-31,Loan,Insurance,4341.95,15126.95,12358.3,14340.238330245458,803,,Debit,Recommendation_Accepted,522,Charts,2,Budget Adjustment,Ignored,72.64,0,80.57,4
T0135,U64,2025-01-22,Loan,Groceries,379.13,8637.65,13182.51,12016.39865277427,367,,Debit,Dashboard_Click,535,Summary,4,Investment Suggestion,Rejected,81.59,0,86.43,1
T0136,U29,2025-08-20,Tax,Salary,1874.98,3150.7,13522.74,12638.780729596161,533,,Cash,Recommendation_Ignored,547,Charts,4,Risk Alert,Accepted,83.56,1,59.38,9
T0137,U47,2025-06-22,Investment,Healthcare,3370.31,15898.8,4053.31,3159.685293778194,551,5.68,Debit,Dashboard_Click,553,Summary,5,Budget Adjustment,Accepted,76.46,1,97.56,3
T0138,U94,2025-03-09,Loan,Travel,2046.38,7693.79,7815.52,7352.217949210735,472,,Cash,Dashboard_Click,357,Detailed,5,Budget Adjustment,Ignored,55.09,0,86.7,1
T0139,U42,2025-05-14,Income,Healthcare,4279.47,13924.06,14150.17,12446.717876108856,686,,Credit,Report_View,532,Tables,3,Budget Adjustment,Ignored,69.89,0,52.29,9
T0140,U21,2025-02-08,Expense,Utilities,124.67,19104.77,4620.89,3206.4825118216627,454,,Credit,Recommendation_Ignored,290,Detailed,5,Investment Suggestion,Accepted,93.85,1,68.89,1
T0141,U88,2025-05-07,Income,Salary,3977.88,5293.22,11377.14,10174.081020312069,461,,Online,Dashboard_Click,586,Tables,2,Budget Adjustment,Ignored,50.34,1,8.12,9
T0142,U87,2025-08-12,Expense,Salary,3300.39,9819.67,13142.25,11999.296159867983,622,,Cash,Report_View,551,Detailed,5,Risk Alert,Ignored,78.12,1,21.56,8
T0143,U29,2024-11-14,Investment,Groceries,754.56,10993.73,5907.4,6873.050582562796,423,10.84,Online,Report_View,371,Detailed,5,Investment Suggestion,Rejected,56.45,0,12.16,7
